id,tipo_tramite_id,clasificacion_tramite_numero,nombre,requiere_declaracion,categoria,activo
8,2,6,IMPUESTO A LA VENTA DE BEBIDAS CON CONTENIDO ALCOHÓLICO,0,ASESORÍA,1
8,2,8,IMPUESTO A LA VENTA DE BEBIDAS CON CONTENIDO ALCOHÓLICO,0,ASESORÍA,1
8,2,9,IMPUESTO A LA VENTA DE BEBIDAS CON CONTENIDO ALCOHÓLICO,0,ASESORÍA,1
9,1,1,CITAS SAT,0,TRÁMITE,1
9,2,1,RETENEDOR DEL IMPUESTO A LA VENTA DE BEBIDAS CON CONTENIDO ALCOHÓLICO,1,TRÁMITE,1
9,2,3,RETENEDOR DEL IMPUESTO A LA VENTA DE BEBIDAS CON CONTENIDO ALCOHÓLICO,0,TRÁMITE,1
9,2,4,RETENEDOR DEL IMPUESTO A LA VENTA DE BEBIDAS CON CONTENIDO ALCOHÓLICO,0,TRÁMITE,1
9,2,5,IMPUESTO CEDULAR ARRENDAMIENTO ANUAL,1,TRÁMITE,1
9,2,6,RETENEDOR DEL IMPUESTO A LA VENTA DE BEBIDAS CON CONTENIDO ALCOHÓLICO,0,ASESORÍA,1
9,2,8,RETENEDOR DEL IMPUESTO A LA VENTA DE BEBIDAS CON CONTENIDO ALCOHÓLICO,0,ASESORÍA,1
9,2,9,RETENEDOR DEL IMPUESTO A LA VENTA DE BEBIDAS CON CONTENIDO ALCOHÓLICO,0,ASESORÍA,1
10,1,1,CITAS E. FIRMA,0,TRÁMITE,1
10,2,1,"IMPUESTO SOBRE JUEGOS Y APUESTAS PERMITIDAS, SOBRE RIFAS, LOTERIAS Y SORTEOS",1,TRÁMITE,1
10,2,3,"IMPUESTO SOBRE JUEGOS Y APUESTAS PERMITIDAS, SOBRE RIFAS, LOTERIAS Y SORTEOS",0,TRÁMITE,1
10,2,4,"IMPUESTO SOBRE JUEGOS Y APUESTAS PERMITIDAS, SOBRE RIFAS, LOTERIAS Y SORTEOS",0,TRÁMITE,1
10,2,5,IMPUESTO CEDULAR SERVICIO PROFESIONAL ANUAL,1,TRÁMITE,1
10,2,6,"IMPUESTO SOBRE JUEGOS Y APUESTAS PERMITIDAS, SOBRE RIFAS, LOTERIAS Y SORTEOS.",0,ASESORÍA,1
10,2,8,"IMPUESTO SOBRE JUEGOS Y APUESTAS PERMITIDAS, SOBRE RIFAS, LOTERIAS Y SORTEOS.",0,ASESORÍA,1
10,2,9,"IMPUESTO SOBRE JUEGOS Y APUESTAS PERMITIDAS, SOBRE RIFAS, LOTERIAS Y SORTEOS.",0,ASESORÍA,1
11,1,1,SELLOS DIGITALES,0,TRÁMITE,1
11,2,1,IMPUESTO A LA INDUSTRIA DE EXTRACCIÓN DE MATERIALES PÉTREOS EN TRANSPORTE DE VEHÍCULOS Y CAMIÓN VOLT,1,TRÁMITE,1
11,2,3,IMPUESTO A LA INDUSTRIA DE EXTRACCIÓN DE MATERIALES PÉTREOS EN TRANSPORTE DE VEHÍCULOS Y CAMIÓN VOLT,0,TRÁMITE,1
11,2,4,IMPUESTO A LA INDUSTRIA DE EXTRACCIÓN DE MATERIALES PÉTREOS EN TRANSPORTE DE VEHÍCULOS Y CAMIÓN VOLT,0,TRÁMITE,1
11,2,5,RETENEDOR DEL IMPUESTO CEDULAR,1,TRÁMITE,1
11,2,6,IMPUESTO A LA INDUSTRIA DE EXTRACCIÓN DE MATERIALES PÉTREOS EN TRANSPORTE DE VEHÍCULOS Y CAMIÓN VOLT,0,ASESORÍA,1
11,2,8,IMPUESTO A LA INDUSTRIA DE EXTRACCIÓN DE MATERIALES PÉTREOS EN TRANSPORTE DE VEHÍCULOS Y CAMIÓN VOLT,0,ASESORÍA,1
11,2,9,IMPUESTO A LA INDUSTRIA DE EXTRACCIÓN DE MATERIALES PÉTREOS EN TRANSPORTE DE VEHÍCULOS Y CAMIÓN VOLT,0,ASESORÍA,1
12,1,1,CORREO ELECTRÓNICO,0,TRÁMITE,1
12,2,1,IMPUESTO 5% SOBRE ENAJENACIÓN DE BIENES INMUEBLES,1,TRÁMITE,1
12,2,3,PADRÓN CASAS DE EMPEÑO,0,TRÁMITE,1
12,2,4,PADRÓN CASAS DE EMPEÑO,0,TRÁMITE,1
